lon,lat,e_vel,n_vel,e_err,n_err,cve,site
31.460000,40.148000,-25.817000,1.908000,0.200000,0.300000,0.000000,NALL
36.188000,38.651000,-17.198000,10.497000,0.400000,0.400000,0.000000,OGUZ
32.760000,38.277000,-18.491000,4.477000,0.400000,0.500000,0.000000,OLME
35.267000,40.272000,-19.635000,6.317000,0.400000,0.400000,0.000000,ORTK
33.256000,39.238000,-23.159000,5.565000,0.200000,0.300000,0.000000,PASD
32.756000,40.322000,-25.018000,-0.424000,0.200000,0.300000,0.000000,PAZR
36.484000,38.971000,-18.289000,10.089000,0.300000,0.300000,0.000000,PNRB
36.082000,37.977000,-10.821000,8.498000,0.300000,0.400000,0.000000,SAIM
33.294000,40.484000,-20.115000,0.964000,0.300000,0.300000,0.000000,SBNZ
33.605000,38.951000,-22.872000,4.856000,0.200000,0.300000,0.000000,SERE
37.958000,39.454000,-17.200000,11.037000,0.208806,0.230651,0.000000,SINC
37.095000,39.786000,-18.968000,10.349000,0.198494,0.192094,0.000000,SIVA
35.018000,36.824000,-13.733633,9.263952,0.163775,0.270749,0.000000,SLCH
34.477000,37.783000,-15.818000,7.636000,0.300000,0.300000,0.000000,SLKY
34.711000,38.712000,-21.587000,8.130000,0.200000,0.300000,0.000000,SLSR
36.521000,38.447000,-14.108000,9.989000,0.400000,0.400000,0.000000,SNCK
35.334000,39.723000,-20.855000,7.216000,0.300000,0.300000,0.000000,SORG
36.697000,37.761000,-10.833000,9.785000,0.400000,0.400000,0.000000,SUCT
33.703000,40.163000,-22.629000,4.155000,0.400000,0.600000,0.000000,SULA
33.157000,38.444000,-21.087000,6.168000,0.200000,0.300000,0.000000,TASP
33.010000,38.901000,-24.070000,5.770000,0.200000,0.200000,0.000000,TAVS
37.757000,39.867000,-17.212000,11.571000,0.274591,0.317648,0.000000,TEKK
35.825000,38.455000,-16.803000,10.904000,0.300000,0.400000,0.000000,TOMA
30.387000,39.431000,-22.237000,0.634000,0.600000,0.800000,0.000000,TRMN
36.318000,40.136000,-19.547000,8.993000,0.300000,0.300000,0.000000,TSPN
34.458000,40.439000,-20.223000,4.536000,0.300000,0.400000,0.000000,UGRL
37.011000,39.433000,-18.077000,9.978000,0.300000,0.400000,0.000000,ULAS
33.843000,39.084000,-22.868000,6.051000,0.400000,0.500000,0.000000,UZUN
36.580000,39.894000,-19.357000,9.786000,0.300000,0.300000,0.000000,YLDZ
